,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
135,2021,2,Río Negro,125000,557000,69356,3663,15019,3867,31488,20009,144084
136,2021,2,Salta,101000,20000,42543,67012,7099,9654,58882,6328,191639
137,2021,2,San Juan,18000,333000,59989,784000,12550,340000,278,4641,78933
138,2021,2,San Luis,60000,0,11752,2703,5418,65946,22,36917,122818
139,2021,2,Santa Cruz,50000,0,30595,8463,6888,1575,676,735000,48982
140,2021,2,Santa Fe,467000,896000,202018,204077,80452,75195,262124,15371,840600
141,2021,2,Santiago Del Estero,123000,909000,32034,62224,10359,811000,6064,1566,114090
142,2021,2,Tierra Del Fuego,17000,0,21335,6913,4580,476000,889,1483,35693
143,2021,2,Tucumán,32000,97000,40224,51648,23732,5022,109616,2680,233051
144,2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,10867,4060002
145,2021,1,Capital Federal,135000,244000,159662,76753,56457,83255,1003041,126000,1379673
146,2021,1,Catamarca,71000,0,7423,8455,10115,712000,22996,2196,51968
147,2021,1,Chaco,301000,112000,24357,22102,27556,14496,42462,8384,139770
148,2021,1,Chubut,106000,109000,86986,21401,15392,2844,1112,4390,132340
149,2021,1,Córdoba,93000,2386,211799,135092,74659,71984,402191,12677,910881
150,2021,1,Corrientes,67000,527000,31544,26223,26169,9001,27641,5453,126625
151,2021,1,Entre Ríos,105000,2911,67255,56060,42432,15774,54600,12826,251963
152,2021,1,Formosa,56000,0,22409,7569,7916,1215,9579,1942,50686
153,2021,1,Jujuy,49000,175000,23735,17293,40649,568000,25609,2378,110456
154,2021,1,La Pampa,298000,554000,68200,7864,7611,2786,7368,2424,97105
155,2021,1,La Rioja,18000,1000,36749,5968,4604,215000,5074,0,52628
156,2021,1,Mendoza,28000,40000,134386,11216,52533,4061,16615,44000,218923
157,2021,1,Misiones,51000,524000,40949,25503,27101,14050,32953,8256,149387
158,2021,1,Neuquén,116000,327000,56171,8443,5903,5677,50840,5758,133235
159,2021,1,Río Negro,125000,466000,70011,4187,13045,3642,29589,20103,141168
160,2021,1,Salta,109000,20000,40785,68149,9164,8138,54889,6319,187574
161,2021,1,San Juan,25000,194000,60439,858000,11494,340000,276,4641,78267
162,2021,1,San Luis,58000,0,11889,2926,4429,62913,22,36917,119154
163,2021,1,Santa Cruz,50000,0,30655,8334,6987,1337,647,0,46065
164,2021,1,Santa Fe,518000,891000,201632,204458,91846,65476,236924,24382,826127
165,2021,1,Santiago Del Estero,123000,909000,33884,58464,8549,700000,4868,4144,111641
166,2021,1,Tierra Del Fuego,17000,0,21379,1468,4317,486000,919,11836,40422
167,2021,1,Tucumán,29000,97000,42810,53416,25255,4188,103437,2680,231912
168,2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261
169,2020,4,Capital Federal,135000,244000,160210,78123,60208,80269,1000073,268000,1379530
170,2020,4,Catamarca,71000,0,8843,8740,11436,591000,20406,2309,52396
171,2020,4,Chaco,301000,112000,24782,22479,26802,15701,40949,7965,139091
172,2020,4,Chubut,106000,109000,88157,21824,12046,2818,1112,4402,130574
173,2020,4,Córdoba,119000,2386,214963,135262,82221,70013,384169,13568,902701
174,2020,4,Corrientes,67000,527000,31900,26321,25687,9383,26789,4985,125659
175,2020,4,Entre Ríos,105000,2911,65659,53556,40755,16600,53141,14654,247381
176,2020,4,Formosa,56000,0,23540,7606,7181,1197,8946,1680,50206
177,2020,4,Jujuy,49000,182000,23772,14379,44930,446000,19282,2811,105851
178,2020,4,La Pampa,298000,554000,70184,8124,6562,2396,6257,2520,96895
179,2020,4,La Rioja,18000,1000,36906,6060,4633,181000,4979,0,52778
180,2020,4,Mendoza,28000,40000,146312,11172,40396,3378,11557,2570,215453
181,2020,4,Misiones,51000,524000,39988,26078,26445,14810,32264,7001,147161
182,2020,4,Neuquén,116000,327000,56434,8478,5791,5493,50776,5720,133135
183,2020,4,Río Negro,125000,466000,70305,4153,13131,3512,29372,20146,141210
184,2020,4,Salta,109000,514000,41443,68829,15188,8291,46697,6319,187390
185,2020,4,San Juan,25000,194000,61316,740000,5126,332000,275,4588,72596
186,2020,4,San Luis,58000,0,14020,3490,2688,62239,22,36918,119435
187,2020,4,Santa Cruz,47000,0,27173,4382,6634,1033,647,758000,40674
188,2020,4,Santa Fe,518000,891000,206372,203793,94246,65144,226246,23602,820813
189,2020,4,Santiago Del Estero,123000,909000,34518,57590,4666,411000,4520,3932,106669
190,2020,4,Tierra Del Fuego,17000,0,21881,6119,3497,488000,922,6690,39614
191,2020,4,Tucumán,29000,97000,44095,54334,32155,4105,93594,2680,231089
192,2020,3,Buenos Aires,37542,31514,1113823,234710,219772,194248,2085815,19853,3937277
193,2020,3,Capital Federal,264000,312000,162222,85083,68753,78028,977766,247000,1372675
194,2020,3,Catamarca,63000,0,8276,8768,11195,562000,18886,2154,49904
195,2020,3,Chaco,308000,112000,24675,21639,27546,13751,38729,7194,133954
196,2020,3,Chubut,158000,109000,87559,22114,12217,2818,1110,3942,130027
197,2020,3,Córdoba,168000,3064,218599,124833,84236,63823,361021,11728,867472
198,2020,3,Corrientes,72000,527000,35190,23315,25308,8615,25344,5020,123391
199,2020,3,Entre Ríos,130000,2911,66648,51478,40797,14377,49395,15759,241495
200,2020,3,Formosa,391000,151000,23163,7432,7125,991000,8219,1737,49209
201,2020,3,Jujuy,55000,182000,32131,10566,45198,293000,15238,3065,106728
202,2020,3,La Pampa,293000,810000,66695,7820,5577,2189,6322,4029,93735
203,2020,3,La Rioja,21000,1000,37105,5955,4660,124000,4748,2000,52616
204,2020,3,Mendoza,58000,40000,141404,12123,42433,3448,8237,45000,207788
205,2020,3,Misiones,71000,524000,39005,24215,25942,13663,30987,8779,143186
206,2020,3,Neuquén,218000,327000,60463,6561,5975,5449,49439,803000,129235
207,2020,3,Río Negro,114000,466000,68986,3769,7096,3455,28488,19093,131467
208,2020,3,Salta,129000,514000,32780,64736,15990,7928,43773,14996,180846
209,2020,3,San Juan,48000,194000,65526,711000,6529,41000,128,4150,77327
210,2020,3,San Luis,105000,0,12199,3351,2666,61319,8,36917,116565
211,2020,3,Santa Cruz,66000,0,26888,4014,6730,629000,120,833000,39281
212,2020,3,Santa Fe,568000,1241,213353,199381,92095,58797,210562,27001,802998
213,2020,3,Santiago Del Estero,133000,909000,33287,57418,4658,292000,3994,4801,105492
214,2020,3,Tierra Del Fuego,11000,0,22094,5414,3726,481000,937,6992,39655
215,2020,3,Tucumán,52000,97000,45913,54610,33126,3246,84195,2637,223876
216,2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546
217,2020,2,Capital Federal,264000,312000,166474,94585,79858,80160,935481,687000,1357821
218,2020,2,Catamarca,63000,0,8801,8690,10242,426000,16578,3176,47976
219,2020,2,Chaco,308000,928000,24350,21140,29044,12082,33311,6969,128132
220,2020,2,Chubut,158000,109000,69578,22188,10537,1473,614,3999,108656
221,2020,2,Córdoba,168000,4383,219025,125932,89530,63216,325243,8971,836468
222,2020,2,Corrientes,72000,527000,34242,22845,25844,7898,22418,5020,118866
223,2020,2,Entre Ríos,130000,3679,66758,50640,42090,12856,43391,14569,234113
224,2020,2,Formosa,391000,151000,23534,7109,6998,961000,7475,1313,47932
225,2020,2,Jujuy,55000,182000,30548,10519,26829,209000,9417,16557,94316
226,2020,2,La Pampa,293000,810000,71218,7531,3800,1657,3377,1123,89809
227,2020,2,La Rioja,21000,1000,37375,5661,4686,73000,4336,2000,52155
228,2020,2,Mendoza,58000,40000,142253,12439,35274,3248,5422,2450,201184
229,2020,2,Misiones,71000,524000,39867,23719,26445,12305,28763,8646,140340
230,2020,2,Neuquén,218000,327000,61171,6103,6625,5296,46432,0,126172
231,2020,2,Río Negro,114000,466000,70817,3335,7498,3246,26953,17057,129486
232,2020,2,Salta,129000,514000,41801,64462,16989,7741,39594,6531,177762
233,2020,2,San Juan,48000,194000,59113,917000,4908,40000,127,4430,69777
234,2020,2,San Luis,105000,0,11439,3585,1934,60889,8,35992,113952
235,2020,2,Santa Cruz,66000,0,26938,4166,6541,546000,119,493000,38869
236,2020,2,Santa Fe,568000,2061,213054,198772,96575,57236,189473,20193,777932
237,2020,2,Santiago Del Estero,133000,1779,32557,57709,5178,247000,3328,4516,105447
238,2020,2,Tierra Del Fuego,11000,0,22325,5186,3034,391000,796,7446,39189
239,2020,2,Tucumán,52000,97000,49028,54537,34184,2246,74377,2635,217156
240,2020,1,Buenos Aires,38215,36802,1122034,236421,247977,205780,1802583,28935,3718747
241,2020,1,Capital Federal,264000,312000,169651,102254,89665,85899,906009,0,1354054
242,2020,1,Catamarca,63000,0,8838,7543,9558,408000,10299,2151,38860
243,2020,1,Chaco,308000,928000,23291,19976,29851,10416,28539,6917,120226
244,2020,1,Chubut,158000,109000,69586,12957,7756,1240,614,4500,96920
245,2020,1,Córdoba,142000,5128,217229,120188,95827,65733,296875,9802,810924
246,2020,1,Corrientes,72000,527000,33479,21382,26679,7351,19467,4780,113737
247,2020,1,Entre Ríos,130000,4081,72280,47132,41125,11988,39794,13762,230292
248,2020,1,Formosa,1127,342000,23761,6500,6564,964000,6918,100000,46276
249,2020,1,Jujuy,55000,182000,33120,9979,26693,166000,7349,16545,94089
250,2020,1,La Pampa,293000,811000,72740,7199,3029,1342,2113,1618,89145
251,2020,1,La Rioja,21000,1000,37209,5158,4640,22000,1294,0,48345
252,2020,1,Mendoza,58000,40000,140410,12285,17489,2860,3818,0,176960
253,2020,1,Misiones,71000,524000,36622,21271,26433,11581,26313,10885,133700
254,2020,1,Neuquén,218000,327000,60152,5257,7123,5399,43738,0,122214
255,2020,1,Río Negro,114000,466000,69154,2930,7857,3199,25488,17719,126927
