Año,Trimestre,Provincia,Accesos por cada 100 hogares,Crecimiento Trimestral,Crecimiento Anual,Trimestre2
2015,3,Salta,31.18,2.36375574523966,6.707734428473655,2015-07-01
2015,3,San Juan,27.67,0.1085383502170911,-0.6463195691202905,2015-07-01
2015,3,San Luis,9.71,0.0,0.0,2015-07-01
2015,3,Santa Cruz,27.61,1.9948282231252223,-2.1962451292950824,2015-07-01
2015,3,Santa Fe,52.15,1.8952715904650308,5.99593495934958,2015-07-01
2015,3,Santiago Del Estero,17.12,0.0584453535944051,3.8204972710733855,2015-07-01
2015,3,Tierra Del Fuego,74.86,0.4697356059589319,13.959506774242648,2015-07-01
2015,3,Tucumán,36.61,2.577752871952943,7.866823806717749,2015-07-01
2015,4,Buenos Aires,58.29,1.0400416016640657,3.922267783918687,2015-10-01
2015,4,Capital Federal,118.13,-0.1352607997294863,2.811140121845068,2015-10-01
2015,4,Catamarca,26.24,1.4694508894044889,2.861622892983129,2015-10-01
2015,4,Chaco,28.35,1.3948497854077369,29.629629629629623,2015-10-01
2015,4,Chubut,36.89,0.2173322466720861,-8.347826086956523,2015-10-01
2015,4,Corrientes,30.34,0.5634736493205006,28.77758913412565,2015-10-01
2015,4,Córdoba,57.36,0.4905395935529189,4.862888482632544,2015-10-01
2015,4,Entre Ríos,44.11,0.9844322344322308,22.42575631418262,2015-10-01
2015,4,Formosa,19.07,1.220806794055207,6.180400890868598,2015-10-01
2015,4,Jujuy,21.47,0.9402914903620108,9.540816326530589,2015-10-01
2015,4,La Pampa,58.76,1.3802622498274577,14.60893309927831,2015-10-01
2015,4,La Rioja,17.32,0.9912536443148712,1.8224573780129203,2015-10-01
2015,4,Mendoza,32.49,0.0,-0.4595588235294046,2015-10-01
2015,4,Misiones,28.69,1.342281879194629,18.75,2015-10-01
2015,4,Neuquén,58.29,6.758241758241756,10.922930542340636,2015-10-01
2015,4,Río Negro,46.44,0.1077818495365257,2.110817941952514,2015-10-01
2015,4,Salta,31.59,1.3149454778704328,6.975956654249904,2015-10-01
2015,4,San Juan,27.66,-0.0361402240693919,-1.3552068473609125,2015-10-01
2015,4,San Luis,9.71,0.0,-0.8171603677221473,2015-10-01
2015,4,Santa Cruz,27.74,0.4708438971387174,-0.2158273381295039,2015-10-01
2015,4,Santa Fe,52.61,0.8820709491850431,5.220000000000002,2015-10-01
2015,4,Santiago Del Estero,17.0,-0.7009345794392607,-1.5634047481181246,2015-10-01
2015,4,Tierra Del Fuego,66.46,-11.220945765428814,0.4838221953431976,2015-10-01
2015,4,Tucumán,37.06,1.22917235727944,4.926387315968306,2015-10-01
2016,1,Buenos Aires,57.34,-1.6297821238634325,1.7207734610608538,2016-01-01
2016,1,Capital Federal,115.16,-2.514179293998142,0.2262837249782379,2016-01-01
2016,1,Catamarca,25.91,-1.2576219512195008,3.185981680605332,2016-01-01
2016,1,Chaco,28.08,-0.95238095238096,5.36585365853659,2016-01-01
2016,1,Chubut,36.09,-2.168609379235553,-4.041478330231307,2016-01-01
2016,1,Corrientes,30.08,-0.856954515491104,3.903281519861834,2016-01-01
2016,1,Córdoba,55.28,-3.6262203626220346,1.0603290676416854,2016-01-01
2016,1,Entre Ríos,43.85,-0.5894355021537012,4.231043498930354,2016-01-01
2016,1,Formosa,19.04,-0.1573151546932383,5.077262693156714,2016-01-01
2016,1,Jujuy,21.41,-0.2794597112249608,8.735398679532747,2016-01-01
2016,1,La Pampa,57.84,-1.5656909462219093,4.197441902359955,2016-01-01
2016,1,La Rioja,16.83,-2.829099307159366,0.7784431137724424,2016-01-01
2016,1,Mendoza,32.12,-1.1388119421360532,-0.7723200494284876,2016-01-01
2016,1,Misiones,28.37,-1.1153712094806534,7.829722538958572,2016-01-01
2016,1,Neuquén,55.75,-4.357522731171725,7.314725697786328,2016-01-01
2016,1,Río Negro,45.84,-1.2919896640826711,1.1250827266710894,2016-01-01
2016,1,Salta,31.32,-0.8547008547008517,4.3652115961346105,2016-01-01
2016,1,San Juan,27.33,-1.19305856832973,-0.7985480943738743,2016-01-01
2016,1,San Luis,9.59,-1.2358393408856916,-1.3374485596707952,2016-01-01
2016,1,Santa Cruz,26.87,-3.136265320836329,-4.001429081814923,2016-01-01
2016,1,Santa Fe,51.28,-2.5280364949629264,2.070063694267521,2016-01-01
2016,1,Santiago Del Estero,16.21,-4.647058823529404,-4.982415005861651,2016-01-01
2016,1,Tierra Del Fuego,65.83,-0.9479386096900356,-11.316179442274022,2016-01-01
2016,1,Tucumán,36.72,-0.917431192660556,4.675028506271373,2016-01-01
2016,2,Buenos Aires,59.34,3.4879665155214568,4.471830985915504,2016-04-01
2016,2,Capital Federal,120.04,4.237582493921499,3.420349788920496,2016-04-01
2016,2,Catamarca,26.07,0.6175221922037899,2.436149312377212,2016-04-01
2016,2,Chaco,28.59,1.816239316239332,4.115076474872548,2016-04-01
2016,2,Chubut,36.12,0.0831255195344882,-1.2575177692728312,2016-04-01
2016,2,Corrientes,30.58,1.66223404255319,3.380662609871532,2016-04-01
2016,2,Córdoba,57.55,4.106367583212722,3.006980490424205,2016-04-01
2016,2,Entre Ríos,44.74,2.029646522234896,4.216165851385978,2016-04-01
2016,2,Formosa,19.37,1.7331932773109404,5.501089324618746,2016-04-01
2016,2,Jujuy,21.89,2.2419430172816446,7.885657959586001,2016-04-01
2016,2,La Pampa,60.44,4.495159059474396,6.577323223417375,2016-04-01
2016,2,La Rioja,16.88,0.2970885323826611,0.0,2016-04-01
2016,2,Mendoza,32.13,0.0311332503113437,-1.1080332409972304,2016-04-01
2016,2,Misiones,29.24,3.0666196686640834,6.910420475319912,2016-04-01
2016,2,Neuquén,59.1,6.008968609865484,11.25753012048194,2016-04-01
2016,2,Río Negro,46.24,0.8726003490401313,0.5654632448890862,2016-04-01
2016,2,Salta,32.08,2.426564495530004,5.318450426789223,2016-04-01
2016,2,San Juan,27.34,0.0365898280278109,-1.085383502170767,2016-04-01
2016,2,San Luis,9.6,0.1042752867570273,-1.1328527291452284,2016-04-01
2016,2,Santa Cruz,26.73,-0.5210271678451783,-1.256002955301072,2016-04-01
2016,2,Santa Fe,52.44,2.262090483619339,2.461899179366944,2016-04-01
2016,2,Santiago Del Estero,15.89,-1.9740900678593465,-7.130333138515477,2016-04-01
2016,2,Tierra Del Fuego,67.72,2.871031444630101,-9.112870755603286,2016-04-01
2016,2,Tucumán,37.24,1.4161220043573008,4.342953208181566,2016-04-01
2016,3,Buenos Aires,60.14,1.3481631277384445,4.246836540128274,2016-07-01
2016,3,Capital Federal,120.77,0.6081306231256134,2.0965423958069,2016-07-01
2016,3,Catamarca,26.48,1.5726889144610734,2.3975251353441696,2016-07-01
2016,3,Chaco,28.91,1.1192724728926295,3.39771101573676,2016-07-01
2016,3,Chubut,36.18,0.1661129568106378,-1.7114914425427896,2016-07-01
2016,3,Corrientes,31.07,1.602354480052326,2.9830957905203848,2016-07-01
2016,3,Córdoba,58.24,1.1989574283232107,2.032235459004905,2016-07-01
2016,3,Entre Ríos,45.44,1.5645954403218587,4.029304029304015,2016-07-01
2016,3,Formosa,18.64,-3.7687145069695394,-1.0615711252653923,2016-07-01
2016,3,Jujuy,22.61,3.2891731384193656,6.299952985425472,2016-07-01
2016,3,La Pampa,61.73,2.134348113831908,6.504485852311936,2016-07-01
2016,3,La Rioja,17.07,1.1255924170616272,-0.4664723032069884,2016-07-01
2016,3,Mendoza,32.09,-0.1244942421412931,-1.231148045552477,2016-07-01
2016,3,Misiones,29.91,2.291381668946646,5.65171317555635,2016-07-01
2016,3,Neuquén,60.21,1.878172588832494,10.274725274725284,2016-07-01
2016,3,Río Negro,46.39,0.3243944636678098,0.0,2016-07-01
2016,3,Salta,32.96,2.743142144638422,5.708787684413097,2016-07-01
2016,3,San Juan,27.32,-0.0731528895391298,-1.2649078424286309,2016-07-01
2016,3,San Luis,9.63,0.3125000000000044,-0.8238928939237944,2016-07-01
2016,3,Santa Cruz,26.84,0.411522633744843,-2.7888446215139417,2016-07-01
2016,3,Santa Fe,52.67,0.4385964912280826,0.9971236816874508,2016-07-01
2016,3,Santiago Del Estero,15.33,-3.524229074889873,-10.45560747663552,2016-07-01
2016,3,Tierra Del Fuego,68.94,1.8015357353809769,-7.908095110873637,2016-07-01
2016,3,Tucumán,37.9,1.772287862513422,3.5236274242010257,2016-07-01
2016,4,Buenos Aires,61.24,1.8290655138011316,5.060902384628596,2016-10-01
2016,4,Capital Federal,120.63,-0.1159228285170121,2.1163125370354585,2016-10-01
2016,4,Catamarca,26.54,0.2265861027190174,1.143292682926833,2016-10-01
2016,4,Chaco,28.79,-0.4150812867519948,1.5520282186948675,2016-10-01
2016,4,Chubut,36.07,-0.3040353786622374,-2.2228246137164565,2016-10-01
2016,4,Corrientes,30.98,-0.2896684905053126,2.109426499670408,2016-10-01
2016,4,Córdoba,57.7,-0.9271978021977988,0.5927475592747644,2016-10-01
2016,4,Entre Ríos,45.21,-0.5061619718309762,2.493765586034913,2016-10-01
2016,4,Formosa,19.85,6.491416309012887,4.0901940220241295,2016-10-01
2016,4,Jujuy,22.65,0.1769128704113276,5.496040987424311,2016-10-01
2016,4,La Pampa,63.02,2.0897456666126857,7.249829816201503,2016-10-01
2016,4,La Rioja,16.46,-3.573520796719387,-4.965357967667439,2016-10-01
2016,4,Mendoza,32.11,0.0623247117481851,-1.1695906432748648,2016-10-01
2016,4,Misiones,29.72,-0.6352390504847927,3.59010108051585,2016-10-01
2016,4,Neuquén,60.87,1.096163428001984,4.426145136387039,2016-10-01
2016,4,Río Negro,46.39,0.0,-0.1076658053402179,2016-10-01
2016,4,Salta,32.69,-0.81917475728156,3.4821145932256936,2016-10-01
2016,4,San Juan,27.29,-0.1098096632503708,-1.3376717281272654,2016-10-01
2016,4,San Luis,9.64,0.1038421599169225,-0.7209062821833201,2016-10-01
2016,4,Santa Cruz,27.05,0.7824143070044753,-2.487382840663299,2016-10-01
2016,4,Santa Fe,52.19,-0.9113347256502812,-0.7983273141988212,2016-10-01
2016,4,Santiago Del Estero,15.07,-1.6960208741030658,-11.352941176470589,2016-10-01
2016,4,Tierra Del Fuego,70.31,1.9872352770525128,5.792958170328033,2016-10-01
2016,4,Tucumán,37.98,0.2110817941952447,2.4824608742579413,2016-10-01
2017,1,Buenos Aires,58.57,-4.359895493141741,2.145099407045681,2017-01-01
2017,1,Capital Federal,108.37,-10.163309292879042,-5.896144494616184,2017-01-01
2017,1,Catamarca,25.66,-3.3157498116051176,-0.9648784253184052,2017-01-01
2017,1,Chaco,28.62,-0.5904828065300349,1.9230769230769384,2017-01-01
2017,1,Chubut,35.66,-1.1366786803437834,-1.1914657799944717,2017-01-01
2017,1,Corrientes,30.94,-0.129115558424786,2.859042553191493,2017-01-01
2017,1,Córdoba,57.65,-0.0866551126516568,4.287264833574533,2017-01-01
2017,1,Entre Ríos,44.91,-0.6635700066357053,2.417331812998857,2017-01-01
2017,1,Formosa,19.84,-0.0503778337531568,4.201680672268915,2017-01-01
